corpus_id,venue_class,journal,issn,sample_year,first_publication_date,issue_publication_year,title,doi,pmid,pmcid,topic,topic_basis,document_type,language,publication_status,oa_status,full_text_status,analysis_level,article_type_jats,introduction_mode,results_mode,methods_mode,discussion_mode,title_words,abstract_words,full_text_body_words,pubmed_verification,pubmed_title_similarity,crossref_verification,crossref_title_similarity,crossref_type,pmc_xml_sha256,metadata_sources,text_source,doi_url,pubmed_url,pmc_url
ART-001,flagship_broad,Cell,0092-8674,2021,2021-07-07,2021,A selective sweep in the Spike gene has driven SARS-CoV-2 human adaptation.,10.1016/j.cell.2021.07.007,34289344,PMC8260498,infectious_disease,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,13,184,6305,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,34d96f4b967eb44c15142dd25ad97ba367bfdff5775eb097a36df6f9724fa9b3,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2021.07.007,https://pubmed.ncbi.nlm.nih.gov/34289344/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8260498/
ART-002,flagship_broad,Cell,0092-8674,2021,2021-07-23,2021,Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19.,10.1016/j.cell.2021.07.023,34352228,PMC8299217,infectious_disease,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,12,166,14642,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,210e0893bbc6418a4ff3dd91d2ca50a99f0b584906ff77af3c3e1cf83c66f17a,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2021.07.023,https://pubmed.ncbi.nlm.nih.gov/34352228/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8299217/
ART-003,flagship_broad,Cell,0092-8674,2021,2021-08-26,2021,"Deciphering osteoarthritis genetics across 826,690 individuals from 9 populations.",10.1016/j.cell.2021.07.038,34450027,PMC8459317,translational_and_clinical,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,9,136,18159,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,e87637ade9a680dfdf1d911732cce069d4d94ef1977e600c90b055ab5e1630af,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2021.07.038,https://pubmed.ncbi.nlm.nih.gov/34450027/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8459317/
ART-004,flagship_broad,Cell,0092-8674,2021,2021-11-18,2021,A defective viral genome strategy elicits broad protective immunity against respiratory viruses.,10.1016/j.cell.2021.11.023,34852237,PMC8598942,infectious_disease,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,12,157,10487,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,2e6da5ab15d9fcefc46b3023bc8550d41dc148f015808488b2c66fcd9dd25597,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2021.11.023,https://pubmed.ncbi.nlm.nih.gov/34852237/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8598942/
ART-005,flagship_broad,Cell,0092-8674,2022,2022-01-01,2022,Transition to invasive breast cancer is associated with progressive changes in the structure and composition of tumor stroma.,10.1016/j.cell.2021.12.023,35063072,PMC8792442,oncology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,18,150,9778,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,d993c4fdf05e21b8497385510afb81d9224f0bd1af30898560f86727171eeb2d,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2021.12.023,https://pubmed.ncbi.nlm.nih.gov/35063072/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8792442/
ART-006,flagship_broad,Cell,0092-8674,2022,2022-01-25,2022,Structural and functional characterizations of infectivity and immune evasion of SARS-CoV-2 Omicron.,10.1016/j.cell.2022.01.019,35120603,PMC8786603,infectious_disease,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,13,146,8688,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,6905e8b95a56867321f41507b26c66a2ff11906bb1e49e80678792157919f57b,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2022.01.019,https://pubmed.ncbi.nlm.nih.gov/35120603/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8786603/
ART-007,flagship_broad,Cell,0092-8674,2022,2022-03-17,2022,Imprinted SARS-CoV-2-specific memory lymphocytes define hybrid immunity.,10.1016/j.cell.2022.03.018,35413241,PMC8926873,infectious_disease,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,9,149,11592,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,c6d7ae5daf6e8abf00f9944709169e717277968128f9d7a6e555a116c8098fd4,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2022.03.018,https://pubmed.ncbi.nlm.nih.gov/35413241/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8926873/
ART-008,flagship_broad,Cell,0092-8674,2022,2022-09-14,2022,"Virological characteristics of the SARS-CoV-2 Omicron BA.2 subvariants, including BA.4 and BA.5.",10.1016/j.cell.2022.09.018,36198317,PMC9472642,infectious_disease,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,16,189,17848,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,66988bae12859031abf3a9fdc88cba20d0ca6dad772bec055cc96967e455881b,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2022.09.018,https://pubmed.ncbi.nlm.nih.gov/36198317/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9472642/
ART-009,flagship_broad,Cell,0092-8674,2023,2023-03-02,2023,Apoptotic cell fragments locally activate tingible body macrophages in the germinal center.,10.1016/j.cell.2023.02.004,36868219,PMC7614509,cell_and_developmental_biology,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,12,148,10223,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,4b2275021f0601a35134c76e263c310b439df4ffc39ca44eef9a7edb4c9102a5,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2023.02.004,https://pubmed.ncbi.nlm.nih.gov/36868219/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7614509/
ART-010,flagship_broad,Cell,0092-8674,2023,2023-10-06,2023,Generative replay underlies compositional inference in the hippocampal-prefrontal circuit.,10.1016/j.cell.2023.09.004,37804832,PMC10914680,neuroscience,title_abstract_keyword_heuristic,original_research_article,English,published_or_ahead_of_print_indexed,oa,pmc_jats_retrieved,title_plus_pubmed_abstract_plus_pmc_jats_full_text,research-article,explicit_section,explicit_results_section,explicit_methods_section,explicit_discussion_section,9,142,12494,verified_exact_doi_title_type_language_abstract,1.0,verified_exact_doi_title_match,1.0,journal-article,9f78a4285656cea27270252fc4d4c4bba02be4c990d9667a4a3c371d91f32736,Europe PMC; NCBI PubMed E-utilities; Crossref,PMC JATS XML via Europe PMC (transient analysis; text not stored),https://doi.org/10.1016/j.cell.2023.09.004,https://pubmed.ncbi.nlm.nih.gov/37804832/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10914680/
