corpus_id,persistent_id,doi,pmid,pmcid,title,publication_date,year,journal,journal_abbreviation,venue_stratum,venue_selection_rationale,article_subtype,topic,language,publication_status,citation_count_at_access,selection_score,selection_terms,oa_status,actual_analysis_text_level,abstract_available,full_text_fetch_status,full_text_license_category,explicit_methods_or_search_strategy,search_evidence_locator,search_feature_confidence,databases_reporting_status,databases_reported,search_date_limits_status,search_date_limits_detail,search_terms_or_keyword_list_reported,complete_search_string_status,search_terms_summary,supplementary_search_string_reported,inclusion_exclusion_reported,screening_process_reported,deduplication_reported,prisma_reported,flow_diagram_reported,structural_writing_features,title_word_count,title_has_colon,title_is_question,abstract_word_count,abstract_sentence_count,abstract_first_person,abstract_why_now_signal,abstract_problem_or_gap_move,abstract_scope_signpost_move,abstract_synthesis_or_comparison_move,abstract_boundary_or_limitation_move,abstract_outlook_or_implication_move,fulltext_top_level_section_count,fulltext_figure_count,fulltext_table_count,fulltext_box_count,fulltext_introduction_heading,fulltext_conclusion_or_outlook_heading,fulltext_limitations_or_challenges_heading,fulltext_organization_logic,metadata_sources,crossref_status,crossref_type,crossref_title_similarity,crossref_title_match,doi_url,pubmed_url,full_text_url,access_date,coding_limit
R001,doi:10.1016/j.cell.2021.02.034,10.1016/j.cell.2021.02.034,33826908,,"Bioelectric signaling: Reprogrammable circuits underlying embryogenesis, regeneration, and cancer.",2021-04-06,2021,Cell,Cell,CNS_flagship,broad-selective life-science flagship; review and synthesis genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,292,19.3934,generative; computational; regenerative; bioengineering; cancer,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=problem_or_gap; body_structure=not_assessed,9,yes,no,100,5,no,yes,yes,no,no,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1016/j.cell.2021.02.034,https://pubmed.ncbi.nlm.nih.gov/33826908/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R002,doi:10.1016/j.cell.2021.02.030,10.1016/j.cell.2021.02.030,33740454,PMC8049514,Novel approaches for vaccine development.,2021-03-01,2021,Cell,Cell,CNS_flagship,broad-selective life-science flagship; review and synthesis genre,review_narrative_or_unspecified,biomaterials_nanomedicine_delivery,eng,ppublish,257,17.151,biomaterial; materials,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=scope_signpost; body_structure=not_assessed,5,no,no,108,4,yes,yes,no,yes,no,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1016/j.cell.2021.02.030,https://pubmed.ncbi.nlm.nih.gov/33740454/,https://europepmc.org/articles/PMC8049514,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R003,doi:10.1016/j.cell.2022.03.045,10.1016/j.cell.2022.03.045,35798006,PMC9454337,Therapeutic in vivo delivery of gene editing agents.,2022-07-06,2022,Cell,Cell,CNS_flagship,broad-selective life-science flagship; review and synthesis genre,review_narrative_or_unspecified,biomaterials_nanomedicine_delivery,eng,ppublish,421,22.315,nanoparticle; lipid nanoparticle; therapeutic,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=scope_signpost+synthesis_or_comparison+outlook_or_implication; body_structure=not_assessed,8,no,no,98,4,yes,no,no,yes,yes,no,yes,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1016/j.cell.2022.03.045,https://pubmed.ncbi.nlm.nih.gov/35798006/,https://europepmc.org/articles/PMC9454337,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R004,doi:10.1016/j.cell.2023.03.008,10.1016/j.cell.2023.03.008,37001498,PMC10119687,Multiple sclerosis: Neuroimmune crosstalk and therapeutic targeting.,2023-03-01,2023,Cell,Cell,CNS_flagship,broad-selective life-science flagship; review and synthesis genre,review_narrative_or_unspecified,therapeutics_and_drug_discovery,eng,ppublish,174,14.0216,generative; therapeutic,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=problem_or_gap+scope_signpost+synthesis_or_comparison; body_structure=not_assessed,7,yes,no,74,3,yes,yes,yes,yes,yes,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1016/j.cell.2023.03.008,https://pubmed.ncbi.nlm.nih.gov/37001498/,https://europepmc.org/articles/PMC10119687,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R005,doi:10.1016/j.cell.2023.12.028,10.1016/j.cell.2023.12.028,38306980,PMC10990048,De novo protein design-From new structures to programmable functions.,2024-02-01,2024,Cell,Cell,CNS_flagship,broad-selective life-science flagship; review and synthesis genre,perspective_review_type,AI_computation_and_data,eng,ppublish,252,22.1445,artificial intelligence; protein design,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=outlook_or_implication; body_structure=not_assessed,9,no,no,134,6,no,yes,no,no,no,no,yes,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,0.9926,yes,https://doi.org/10.1016/j.cell.2023.12.028,https://pubmed.ncbi.nlm.nih.gov/38306980/,https://europepmc.org/articles/PMC10990048,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R006,doi:10.1016/j.cell.2024.05.016,10.1016/j.cell.2024.05.016,38906093,PMC11299420,Parsing patterns: Emerging roles of tissue self-organization in health and disease.,2024-06-01,2024,Cell,Cell,CNS_flagship,broad-selective life-science flagship; review and synthesis genre,review_narrative_or_unspecified,bioengineering_regeneration_synthetic_biology,eng,ppublish,25,20.386,generative; regenerative; synthetic biology,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=scope_signpost+synthesis_or_comparison; body_structure=not_assessed,11,yes,no,136,6,yes,yes,no,yes,yes,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1016/j.cell.2024.05.016,https://pubmed.ncbi.nlm.nih.gov/38906093/,https://europepmc.org/articles/PMC11299420,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R007,doi:10.1016/j.cell.2024.05.053,10.1016/j.cell.2024.05.053,38906136,,The evolution of developmental biology through conceptual and technological revolutions.,2024-06-20,2024,Cell,Cell,CNS_flagship,broad-selective life-science flagship; review and synthesis genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,37,23.2125,artificial intelligence; computational; synthetic biology; omics; imaging; cell biology,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=scope_signpost; body_structure=not_assessed,10,no,no,148,7,yes,yes,no,yes,no,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1016/j.cell.2024.05.053,https://pubmed.ncbi.nlm.nih.gov/38906136/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R008,doi:10.1016/j.cell.2024.07.035,10.1016/j.cell.2024.07.035,39178831,,Toward a foundation model of causal cell and tissue biology with a Perturbation Cell and Tissue Atlas.,2024-08-01,2024,Cell,Cell,CNS_flagship,broad-selective life-science flagship; review and synthesis genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,135,32.6376,artificial intelligence; machine learning; foundation model; generative; computational; cell biology,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=problem_or_gap; body_structure=not_assessed,17,no,no,136,5,yes,yes,yes,no,no,yes,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1016/j.cell.2024.07.035,https://pubmed.ncbi.nlm.nih.gov/39178831/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R009,doi:10.1016/j.cell.2025.05.018,10.1016/j.cell.2025.05.018,40645169,,The generative era of medical AI.,2025-07-01,2025,Cell,Cell,CNS_flagship,broad-selective life-science flagship; review and synthesis genre,review_narrative_or_unspecified,AI_computation_and_data,eng,ppublish,48,13.7973,artificial intelligence; generative,subscription_or_oa_unknown,abstract,yes,not_attempted_no_pmcid,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=not_machine_detected; body_structure=not_assessed,6,no,no,88,5,no,yes,no,no,no,no,no,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1016/j.cell.2025.05.018,https://pubmed.ncbi.nlm.nih.gov/40645169/,,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
R010,doi:10.1016/j.cell.2026.02.012,10.1016/j.cell.2026.02.012,41932326,PMC13155200,New approach methodologies for drug discovery.,2026-04-01,2026,Cell,Cell,CNS_flagship,broad-selective life-science flagship; review and synthesis genre,review_narrative_or_unspecified,biotechnology_omics_and_methods,eng,ppublish,10,14.0993,drug discovery; therapeutic,subscription_or_oa_unknown,abstract,yes,failed,not_applicable_no_full_text,not_assessed_without_full_text,abstract_or_title_only,low,not_assessed,,not_assessed,,not_assessed,not_assessed,,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,abstract_moves=problem_or_gap+outlook_or_implication; body_structure=not_assessed,6,no,no,145,4,yes,yes,yes,no,no,no,yes,,,,,not_assessed,not_assessed,not_assessed,not_assessed_without_full_text,Europe PMC/PubMed; Crossref,verified,journal-article,1.0,yes,https://doi.org/10.1016/j.cell.2026.02.012,https://pubmed.ncbi.nlm.nih.gov/41932326/,https://europepmc.org/articles/PMC13155200,2026-08-30,"Metadata/title for all; abstract or full text only as stated. Machine-assisted coding, manually audited positives; no copyrighted body text retained."
