venue,family,sample_from,sample_to,publication_year,openalex_id,doi,title,title_words,abstract_words,abstract_sentences,abstract_sha256,sentence_word_lengths,title_has_colon,title_has_question,title_has_acronym,uses_first_person,contains_numeric_evidence,strong_verb_count,hedge_count,first_sentence_move,final_sentence_move,move_context,move_gap_or_problem,move_contribution,move_result,move_implication,move_limitation_or_boundary
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4405319369,https://doi.org/10.1016/j.cell.2024.11.016,Regulation of human interferon signaling by transposon exonization,8,140,5,ec468e645f5b5cd439207f4d30e97b288597ece5bae9c51e60072cda9c2f428a,22;23;28;45;22,False,False,False,True,True,5,0,other,other,True,False,True,False,False,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4414111947,https://doi.org/10.1016/j.cell.2025.08.021,A brain center that controls consummatory responses,7,157,6,ae3d0b59ed22b8ac9a0682f566d14050b8c2e7c6226a109c01e3c216c4fd9563,10;30;43;20;12;42,False,False,False,True,False,5,0,other,other,False,False,True,True,False,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4408185954,https://doi.org/10.1016/j.cell.2025.01.038,From big data and experimental models to clinical trials: Iterative strategies in microbiome research,14,200,7,d04d71e92b80af7adaea7a33a6eeb73092b30af248cc50da55e3265644f0212c,18;34;40;32;28;18;30,True,False,False,True,False,1,0,gap_or_problem,other,False,True,False,False,False,False
Cell,journal,2024-01-01,2026-08-30,2026,https://openalex.org/W7131884719,https://doi.org/10.1016/j.cell.2026.01.030,High-resolution in situ structures of hantavirus glycoprotein tetramers,8,153,7,ceabd900bdbdc21e0945aea5921324edc6ae0d4e14e8ca2b8217679e42ca4cdf,8;34;18;33;13;31;16,False,False,False,True,True,4,0,other,other,False,True,True,False,False,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4409199046,https://doi.org/10.1016/j.cell.2025.03.010,Conserved genetic basis for microbial colonization of the gut,9,155,9,3224f6fd7f02fbbcab9a86eae632727eca75f043d18517d16d3e0673e4999a8f,16;20;18;19;20;19;10;17;16,False,False,False,True,True,3,2,gap_or_problem,other,False,True,False,False,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4393995286,https://doi.org/10.1016/j.cell.2024.03.004,"A genome-wide spectrum of tandem repeat expansions in 338,963 humans",11,143,5,86655386c9934431835245cb90e99985046905c65decfc5b51b8e1de2de81c29,41;32;17;34;19,False,False,False,True,True,1,2,gap_or_problem,other,False,True,True,False,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4401951560,https://doi.org/10.1016/j.cell.2024.07.053,Cryo-EM-based discovery of a pathogenic parvovirus causing epidemic mortality by black wasting disease in farmed beetles,16,149,7,5bf2ab4764fa3b0f982ebff2cae82a592a0ae5ddfaeaad35f6edcb0d472c413a,21;22;20;18;28;26;14,False,False,True,True,True,3,0,other,other,False,False,False,False,False,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4414509405,https://doi.org/10.1016/j.cell.2025.08.038,Multiscale proteomic modeling reveals protein networks driving Alzheimer’s disease pathogenesis,11,147,7,5662180bb6beaae5b3ee2f17effad65ab0f39b92cf80fb4d67dacd12414641af,19;29;26;18;12;22;21,False,False,False,True,False,3,0,other,other,False,False,True,False,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4398175631,https://doi.org/10.1016/j.cell.2024.04.016,Global epistasis and the emergence of function in microbial consortia,10,148,5,7f78acce2f9dc0af69aac93a49debaa227ddc8c83c8fc16d9a1b2ced3fad90c2,18;21;38;26;45,False,False,False,True,False,1,0,other,other,False,False,True,True,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4400978576,https://doi.org/10.1016/j.cell.2024.06.037,Natural malaria infection elicits rare but potent neutralizing antibodies to the blood-stage antigen RH5,15,171,5,6f0701254d2ce924d2cb6d56e78fa181c32b1b9011a730a92066f43c8d6f6248,48;32;27;38;26,False,False,False,True,True,1,3,other,implication,False,True,True,False,True,False
Cell,journal,2024-01-01,2026-08-30,2026,https://openalex.org/W4415189576,https://doi.org/10.1016/j.cell.2026.07.018,The complete genome of a songbird,6,151,8,86c2a09560ba4e62f9441f00cb20554ea128c025c76ec631c27b0d65a3ed4184,18;24;16;17;11;26;21;18,False,False,False,False,True,2,0,gap_or_problem,other,False,True,True,False,False,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4412392297,https://doi.org/10.1016/j.cell.2025.06.025,Engineering yeast multicellular behaviors via synthetic adhesion and contact signaling,10,150,6,50a1dd00956728786446ae89fdc46941c83ee31b448156ed26f34d637a673b22,16;27;37;22;26;22,False,False,False,True,False,1,0,gap_or_problem,implication,False,True,True,False,True,False
Cell,journal,2024-01-01,2026-08-30,2026,https://openalex.org/W4406967715,https://doi.org/10.1016/j.cell.2025.12.040,A cell type-specific mechanism driving the rapid antidepressant effects of transcranial magnetic stimulation,13,150,6,a2fc39c27e22d06384326847193fcaf5f3be2e60d75aa1cce2d7a4a1e684517c,19;36;27;35;17;16,False,False,False,True,False,2,0,gap_or_problem,result,False,True,False,True,True,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4409481086,https://doi.org/10.1016/j.cell.2025.03.027,Structure and infection dynamics of mycobacteriophage Bxb1,8,148,5,e42d37d720a5fa05ab5ccd786470b341344b102a046eb3591d58871d10105465,18;32;40;20;38,False,False,False,True,True,3,0,other,other,False,False,True,True,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4398231714,https://doi.org/10.1016/j.cell.2024.04.035,Establishing a conceptual framework for holistic cell states and state transitions,11,150,5,1df5c09507fac0330e2c6dcdc020b5276eb8d63d2687965d3e5d894e938b775f,18;16;44;41;31,False,False,False,True,False,1,1,other,contribution,False,False,True,False,True,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4408505447,https://doi.org/10.1016/j.cell.2025.02.014,Ligand-induced ubiquitination unleashes LAG3 immune checkpoint function by hindering membrane sequestration of signaling motifs,15,181,8,9727643a83ef93ff914e1117a0240ae28bc7c9c5ec8372933b36701ee4a6e25f,26;26;27;36;17;15;21;13,False,False,False,True,True,2,3,other,implication,False,False,False,False,True,False
Cell,journal,2024-01-01,2026-08-30,2026,https://openalex.org/W4411325256,https://doi.org/10.1016/j.cell.2026.04.003,Bringing the genetically minimal cell to life on a computer in 4D,13,154,8,e14671dd24339c36b9cf44da0c88f0146a52a3145076f665aae09b3494a4bbe6,23;24;11;17;25;28;8;18,False,False,False,True,True,1,0,contribution,other,False,False,True,False,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4395052590,https://doi.org/10.1016/j.cell.2024.03.031,Synthetic protein circuits for programmable control of mammalian cell death,10,139,7,d6ef2c674f278e3d6a0ebb381d3151a7d5085ab1c29f5b31f3ff226372f2b701,26;22;19;17;17;25;13,False,False,False,True,False,0,1,other,other,False,True,True,False,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4396780652,https://doi.org/10.1016/j.cell.2024.03.016,Neurotransmitter classification from electron microscopy images at synaptic sites in Drosophila melanogaster,12,150,6,2aa2e6d36327df536156ef041b9ff632e0617745f8a2797421cd12c77840014f,13;27;51;16;25;18,False,False,False,True,True,4,1,other,other,False,True,False,True,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4405532460,https://doi.org/10.1016/j.cell.2024.11.014,The auditory midbrain mediates tactile vibration sensing,7,149,6,2713127ecd8d87b7e95fdf9d7e565284a7a91bec070cab69e847385a06f0f088,11;41;46;23;12;16,False,False,False,True,True,0,0,other,implication,False,False,True,True,True,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4402557652,https://doi.org/10.1016/j.cell.2024.08.033,Fine-grained descending control of steering in walking Drosophila,8,149,8,5a1d26d28d62cdc89c2a7f4fc257b57eaaf72bf9311f1497d3b769ac230fdc6c,13;18;14;11;12;39;27;15,False,False,False,True,False,4,1,other,result,False,False,True,True,True,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4408164843,https://doi.org/10.1016/j.cell.2025.02.005,CXCL12 drives natural variation in coronary artery anatomy across diverse populations,12,156,7,57a88892c488682f6e2f21c62a6e6f2a89218e6e537faf42f3a9c46fb47b9f2f,12;37;28;22;17;20;20,False,False,False,True,True,3,1,other,other,False,False,False,True,False,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4416702280,https://doi.org/10.1016/j.cell.2025.10.042,Stress-induced sympathetic hyperactivation drives hair follicle necrosis to trigger autoimmunity,10,147,6,260d7acdac30c456dbdc6b5f1da2ece0e77540351f3bf3da93dcd0c6ccb1a0ab,14;13;26;24;33;37,False,False,False,True,False,3,0,gap_or_problem,other,False,True,True,True,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4405638508,https://doi.org/10.1016/j.cell.2024.11.031,Inflammation switches the chemoattractant requirements for naive lymphocyte entry into lymph nodes,12,163,8,89ccd32c1966d31fb9f6daa9a14a0677fffccce0011e78327243bf9f858c700b,14;28;24;21;7;21;14;34,False,False,False,True,True,4,0,context,implication,True,False,True,True,True,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4417122962,https://doi.org/10.1016/j.cell.2025.11.011,Structural basis of microtubule-mediated signal transduction,6,177,6,33bb28ef4c537b287f9a63b3cb9f4c6db08f47eb9ce9a4bea905711426861695,20;31;27;19;53;27,False,False,False,True,False,6,0,other,implication,True,False,True,True,True,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4404299477,https://doi.org/10.1016/j.cell.2024.10.032,A β-hydroxybutyrate shunt pathway generates anti-obesity ketone metabolites,8,153,9,0c58c4d79c17037f131dfb82d49d24fd03206bd5299242017d8aefa83b72c756,7;17;22;14;18;21;21;15;18,False,False,False,True,False,2,0,other,implication,False,False,True,False,True,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4415517987,https://doi.org/10.1016/j.cell.2025.09.026,SARM1 senses dsDNA to promote NAD+ degradation and cell death,11,157,7,abef2046e23fce69e9ebb64c133cf167523faf3066a4c9d70968530dee507564,20;9;44;19;39;10;16,False,False,True,True,True,2,1,context,result,True,True,True,True,False,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4410399847,https://doi.org/10.1016/j.cell.2025.04.025,Post-gastrulation amnioids as a stem cell-derived model of human extra-embryonic development,11,157,6,c29da4f5bbbe8d63f614bea26cd928ac6adad22fdf21816d95ee1a7148fe1d35,20;21;37;16;28;35,False,False,False,True,True,1,0,other,other,False,True,True,True,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4405925195,https://doi.org/10.1016/j.cell.2024.11.028,Global organelle profiling reveals subcellular localization and remodeling at proteome scale,11,149,8,b4cd4be30d9d106494ce3647b3aa87e2b2bde6fab25f243e58547bdf97a74285,21;17;13;21;13;29;26;9,False,False,False,True,True,1,0,other,other,False,False,True,False,True,False
Cell,journal,2024-01-01,2026-08-30,2026,https://openalex.org/W7164490850,https://doi.org/10.1016/j.cell.2026.05.027,Mechanism of lipid transfer by bridge-like protein VPS13A and the scramblase XK,14,158,8,94ad9c0c3b31fe7acbdb23f047aacd0086c42daf490470687b98d82e31dec1db,15;19;13;25;30;11;20;25,False,False,True,True,False,0,0,context,other,True,False,True,False,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4400084768,https://doi.org/10.1016/j.cell.2024.06.009,Stress-dependent condensate formation regulated by the ubiquitin-related modifier Urm1,10,152,7,5c6134a9f03c0d90dd726f3a576fd16fd8e20669fb02121d8a018d9081ffecb6,27;21;24;30;13;14;23,False,False,False,True,False,3,1,other,contribution,False,False,True,True,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4403538382,https://doi.org/10.1016/j.cell.2024.09.037,RNA G-quadruplexes form scaffolds that promote neuropathological α-synuclein aggregation,9,154,9,f707c56bf14cff617d4e68a6226204feb02b089dffc07f9c00eb798f66d5e6f6,20;8;15;10;15;23;16;30;17,False,False,True,True,True,1,1,other,implication,False,True,False,True,True,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4411369601,https://doi.org/10.1016/j.cell.2025.05.027,STAMP: Single-cell transcriptomics analysis and multimodal profiling through imaging,9,154,8,5918581da40abe67ae545cb40d26810aec7fbab63cf6922af08d5275b9b8fef1,24;23;19;23;15;22;18;10,True,False,True,True,True,3,0,other,other,False,False,True,True,False,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4412750642,https://doi.org/10.1016/j.cell.2025.07.005,Quantifying the varying harvest of fermentation products from the human gut microbiota,12,152,8,2b1b62476d4aaf5d127966b7aad329eae287e809ba60fc91279334472f82f394,15;20;19;19;21;18;17;23,False,False,False,True,True,1,1,other,other,False,True,True,False,False,False
Cell,journal,2024-01-01,2026-08-30,2026,https://openalex.org/W7118203733,https://doi.org/10.1016/j.cell.2025.12.003,A glycolytic shunt via the pentose phosphate pathway is a metabolic checkpoint for nervous system sensory homeostasis and axonal regeneration,20,152,7,d9530c93ec1a4c65e516a8d5b950f9bc0cdef838a2808d5a30409b9d9f451d21,15;27;25;19;15;27;24,False,False,False,True,True,3,0,other,other,False,True,True,True,False,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4407135430,https://doi.org/10.1016/j.cell.2024.12.007,Rhodoquinone carries electrons in the mammalian electron transport chain,9,157,6,7a20eca07007ea0bfa395db6993fad8ca2b89e4fb63f64d27b3d4a74148f38ed,25;11;36;16;44;25,False,False,False,True,True,2,0,other,implication,False,False,True,False,True,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4391849294,https://doi.org/10.1016/j.cell.2024.01.011,A retroviral link to vertebrate myelination through retrotransposon-RNA-mediated control of myelin gene expression,13,136,6,9d80f3e4c936fdb1d04d95ee58ab2f18f99fe3e40594233a41a83e9111fcad6a,18;22;19;29;31;17,False,False,True,True,False,4,2,other,implication,False,False,True,True,True,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4412826966,https://doi.org/10.1016/j.cell.2025.06.031,Single-cell multiregion epigenomic rewiring in Alzheimer’s disease progression and cognitive resilience,12,145,6,cc2bdaeae3f0d8b70f74b8ecc70fb8e57bbb0eee7f387b8a6f7ae7df7ef0635a,18;28;18;29;29;23,False,False,False,True,True,1,0,gap_or_problem,other,False,True,True,False,False,False
Cell,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4414152939,https://doi.org/10.1016/j.cell.2025.08.020,Culture-independent meta-pangenomics enabled by long-read metagenomics reveals associations with pediatric undernutrition,11,144,7,ebf523ad77f2523eeba227dc392364f0dc16bef5489a03f4a5f68f0ef52afcb4,15;32;24;26;8;19;20,False,False,False,True,True,6,0,gap_or_problem,other,False,True,False,False,False,False
Cell,journal,2024-01-01,2026-08-30,2024,https://openalex.org/W4398204043,https://doi.org/10.1016/j.cell.2024.04.039,Patterning and folding of intestinal villi by active mesenchymal dewetting,10,150,7,0c2c304a5cb8e513f6cd7780e879ee111921d7cf9cee81ad01201b6b461c29f4,9;24;11;19;24;18;45,False,False,False,True,False,5,0,other,other,False,True,True,True,False,False
Nature,journal,2024-01-01,2026-08-30,2025,https://openalex.org/W4407722197,https://doi.org/10.1038/s41586-025-08585-z,Human-correlated genetic models identify precision therapy for liver cancer,9,243,13,c97c09cd54d8cb8d3af7be1b62f64c97f2b2b93a4184ba6f29591a5a70b51cf6,22;17;24;16;17;15;19;17;15;20;13;35;13,False,False,False,True,True,2,2,other,other,False,True,True,False,True,False
