record_id,title,venue,venue_type,venue_family,year,article_type,stable_id_type,stable_id,doi,official_url,metadata_url,relevance_domain,selection_reason,acceptance_status,verified_date,metadata_source
E001,From big data and experimental models to clinical trials: Iterative strategies in microbiome research,Cell,journal,CNS flagship,2025,Journal article (genre not verified),DOI,10.1016/j.cell.2025.01.038,10.1016/j.cell.2025.01.038,https://doi.org/10.1016/j.cell.2025.01.038,https://api.crossref.org/works/10.1016%2Fj.cell.2025.01.038,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E002,STAMP: Single-cell transcriptomics analysis and multimodal profiling through imaging,Cell,journal,CNS flagship,2025,Journal article (genre not verified),DOI,10.1016/j.cell.2025.05.027,10.1016/j.cell.2025.05.027,https://doi.org/10.1016/j.cell.2025.05.027,https://api.crossref.org/works/10.1016%2Fj.cell.2025.05.027,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E003,Bringing the genetically minimal cell to life on a computer in 4D,Cell,journal,CNS flagship,2026,Journal article (genre not verified),DOI,10.1016/j.cell.2026.04.003,10.1016/j.cell.2026.04.003,https://doi.org/10.1016/j.cell.2026.04.003,https://api.crossref.org/works/10.1016%2Fj.cell.2026.04.003,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E004,Machine learning for molecular and materials science,Nature,journal,CNS flagship,2018,Review,DOI,10.1038/s41586-018-0337-2,10.1038/s41586-018-0337-2,https://doi.org/10.1038/s41586-018-0337-2,https://api.crossref.org/works/10.1038%2Fs41586-018-0337-2,molecular-and-chemical-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record; PubMed Review type cross-check
E005,Machine learning-aided engineering of hydrolases for PET depolymerization,Nature,journal,CNS flagship,2022,Journal article (genre not verified),DOI,10.1038/s41586-022-04599-z,10.1038/s41586-022-04599-z,https://doi.org/10.1038/s41586-022-04599-z,https://api.crossref.org/works/10.1038%2Fs41586-022-04599-z,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E006,An autonomous laboratory for the accelerated synthesis of inorganic materials,Nature,journal,CNS flagship,2023,Journal article (genre not verified),DOI,10.1038/s41586-023-06734-w,10.1038/s41586-023-06734-w,https://doi.org/10.1038/s41586-023-06734-w,https://api.crossref.org/works/10.1038%2Fs41586-023-06734-w,autonomous-experimentation,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E007,Scaling deep learning for materials discovery,Nature,journal,CNS flagship,2023,Journal article (genre not verified),DOI,10.1038/s41586-023-06735-9,10.1038/s41586-023-06735-9,https://doi.org/10.1038/s41586-023-06735-9,https://api.crossref.org/works/10.1038%2Fs41586-023-06735-9,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
E008,Inverse molecular design using machine learning: Generative models for matter engineering,Science,journal,CNS flagship,2018,Review,DOI,10.1126/science.aat2663,10.1126/science.aat2663,https://doi.org/10.1126/science.aat2663,https://api.crossref.org/works/10.1126%2Fscience.aat2663,molecular-and-chemical-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record; PubMed Review type cross-check
E009,High-entropy nanoparticles: Synthesis-structure-property relationships and data-driven discovery,Science,journal,CNS flagship,2022,Review,DOI,10.1126/science.abn3103,10.1126/science.abn3103,https://doi.org/10.1126/science.abn3103,https://api.crossref.org/works/10.1126%2Fscience.abn3103,materials-discovery-and-design,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record; PubMed Review type cross-check
E010,Robust deep learning–based protein sequence design using ProteinMPNN,Science,journal,CNS flagship,2022,Journal article (genre not verified),DOI,10.1126/science.add2187,10.1126/science.add2187,https://doi.org/10.1126/science.add2187,https://api.crossref.org/works/10.1126%2Fscience.add2187,biomaterials-and-biodesign,"Core panel: predefined CNS flagship, CNS-family elite specialty, or field flagship; topic matched to AI-guided materials, biomaterials, molecular/protein design, scientific data, or autonomous experimentation.",Published journal record,2026-08-30,Crossref DOI record
