record_id,title,journal,year,article_type,metadata_type,genre_role,doi,metadata_url,doi_url,relevance_domain,selection_reason,verified_date,metadata_source
T001,Machine learning for biomaterials design,Nature Reviews Bioengineering,2026,Review,journal-article,review (journal identity verified),10.1038/s44222-026-00476-w,https://api.crossref.org/works/10.1038%2Fs44222-026-00476-w,https://doi.org/10.1038/s44222-026-00476-w,biomaterials-overview,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T002,Artificial intelligence in biomaterials: a call for unified biocompatibility standards,Trends in Biotechnology,2025,Comment/editorial/letter,journal-article,comment or editorial (PubMed publication type verified),10.1016/j.tibtech.2024.11.011,https://api.crossref.org/works/10.1016%2Fj.tibtech.2024.11.011,https://doi.org/10.1016/j.tibtech.2024.11.011,biomaterials-overview,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T003,Applied machine learning as a driver for polymeric biomaterials design,Nature Communications,2023,Review,journal-article,review (PubMed publication type verified),10.1038/s41467-023-40459-8,https://api.crossref.org/works/10.1038%2Fs41467-023-40459-8,https://doi.org/10.1038/s41467-023-40459-8,biomaterials-overview,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T004,Artificial intelligence in biomaterials for oral oncology,Biomaterials,2026,Review,journal-article,review (PubMed publication type verified),10.1016/j.biomaterials.2026.124067,https://api.crossref.org/works/10.1016%2Fj.biomaterials.2026.124067,https://doi.org/10.1016/j.biomaterials.2026.124067,biomaterials-overview,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T005,"Skin Relevant Biomaterials from Wound Healing, Medical Aesthetics, Flexible Electronics to Artificial Intelligence and Beyond",Advanced Materials,2025,Review,journal-article,review (PubMed publication type verified),10.1002/adma.202512919,https://api.crossref.org/works/10.1002%2Fadma.202512919,https://doi.org/10.1002/adma.202512919,biomaterials-overview,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T006,Osteoinductive biomaterials: Machine learning for prediction and interpretation,Acta Biomaterialia,2024,Journal article (genre unknown),journal-article,unknown,10.1016/j.actbio.2024.08.017,https://api.crossref.org/works/10.1016%2Fj.actbio.2024.08.017,https://doi.org/10.1016/j.actbio.2024.08.017,biomaterials-overview,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T007,Machine Learning‐Driven Biomaterials Evolution,Advanced Materials,2022,Review,journal-article,review (PubMed publication type verified),10.1002/adma.202102703,https://api.crossref.org/works/10.1002%2Fadma.202102703,https://doi.org/10.1002/adma.202102703,biomaterials-overview,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T008,Machine learning and big data provide crucial insight for future biomaterials discovery and research,Acta Biomaterialia,2021,Review,journal-article,review (PubMed publication type verified),10.1016/j.actbio.2021.05.053,https://api.crossref.org/works/10.1016%2Fj.actbio.2021.05.053,https://doi.org/10.1016/j.actbio.2021.05.053,biomaterials-overview,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T009,High-throughput platforms for machine learning-guided lipid nanoparticle design,Nature Reviews Materials,2025,Review,journal-article,review (journal identity verified),10.1038/s41578-025-00831-0,https://api.crossref.org/works/10.1038%2Fs41578-025-00831-0,https://doi.org/10.1038/s41578-025-00831-0,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T010,Machine Learning-Accelerated High-Throughput Computational Screening: Unveiling Bimetallic Nanoparticles with Peroxidase-Like Activity,ACS Nano,2024,Journal article (genre unknown),journal-article,unknown,10.1021/acsnano.4c01473,https://api.crossref.org/works/10.1021%2Facsnano.4c01473,https://doi.org/10.1021/acsnano.4c01473,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
