corpus_id,venue,year,track,paper_id,doi,title,authors,topic,canonical_url,pdf_url,official_source,language,sampling_frame_size,sampling_rank,sample_order_within_venue,title_word_count,abstract_word_count,abstract_actions,pdf_retrieval_status,full_text_extraction_status,analysis_text_level,pdf_pages,pdf_bytes,pdf_sha256,full_text_word_count,full_text_char_count,structural_analysis_char_window,intro_contribution_list,related_work_position,method_narrative,experiments_section,baseline_language,ablation_reported,uncertainty_reporting,limitations_section,ethics_or_impact_section,checklist_present,figure_caption_count,table_caption_count,conclusion_section,conclusion_moves,issue,pages,publication_date_raw,detail_status,pdf_error,accessed_date,notes
CONF-001,AAAI,2025,AAAI Technical Track on Application Domains,AAAI-25-32010,10.1609/aaai.v39i1.32010,PRAGA: Prototype-aware Graph Adaptive Aggregation for Spatial Multi-modal Omics Analysis,Xinlei Huang; Zhiqi Ma; Dian Meng; Yanran Liu; Shiwei Ruan; Qingqiang Sun; Xubin Zheng; Ziyue Qiao,graphs_structured_data,https://ojs.aaai.org/index.php/AAAI/article/view/32010,https://ojs.aaai.org/index.php/AAAI/article/download/32010/34165,https://ojs.aaai.org/index.php/AAAI/issue/view/624,English,2903,37,1,10,205,gap_or_contrast;method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,8,5551479,78731a1997b158e4d65f01a254d99f8a435d7f7286a57b220067c1ce8f560e3a,5226,57244,57244,explicit_list,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,1,3,False,not_detected,39(1),326-333,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-002,AAAI,2025,AAAI Technical Track on Application Domains,AAAI-25-32082,10.1609/aaai.v39i1.32082,Uncovering LLM-Generated Code: A Zero-Shot Synthetic Code Detector via Code Rewriting,Tong Ye; Yangkai Du; Tengfei Ma; Lingfei Wu; Xuhong Zhang; Shouling Ji; Wenhai Wang,language_models_nlp,https://ojs.aaai.org/index.php/AAAI/article/view/32082,https://ojs.aaai.org/index.php/AAAI/article/download/32082/34237,https://ojs.aaai.org/index.php/AAAI/issue/view/624,English,2903,109,2,11,162,gap_or_contrast;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,1843674,b9312471304d56c0894d21730b44f5ad05fe65ea760e6fdba2d8c47136e69188,6492,61877,61877,explicit_list,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,5,3,True,summarizes_evidence;states_boundary_or_future_work;states_implication,39(1),968-976,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-003,AAAI,2025,AAAI Technical Track on Cognitive Modeling & Cognitive Systems,AAAI-25-32155,10.1609/aaai.v39i2.32155,Personalized Dynamic Music Emotion Recognition with Dual-Scale Attention-Based Meta-Learning,Dengming Zhang; Weitao You; Ziheng Liu; Lingyun Sun; Pei Chen,general_machine_learning,https://ojs.aaai.org/index.php/AAAI/article/view/32155,https://ojs.aaai.org/index.php/AAAI/article/download/32155/34310,https://ojs.aaai.org/index.php/AAAI/issue/view/625,English,2903,182,3,9,197,context_or_problem;method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,2302312,773ba854fa3dfcf0d113b613efb89b39e95017d82fe778bf08ba26119d5c5d87,5953,56903,56903,not_detected,no_dedicated_heading_detected,problem_formulation_then_method,False,True,True,True,False,False,False,3,3,False,not_detected,39(2),1629-1637,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-004,AAAI,2025,AAAI Technical Track on Computer Vision I,AAAI-25-32228,10.1609/aaai.v39i2.32228,AoP-SAM: Automation of Prompts for Efficient Segmentation,Yi Chen; Muyoung Son; Chuanbo Hua; Joo-Young Kim,language_models_nlp,https://ojs.aaai.org/index.php/AAAI/article/view/32228,https://ojs.aaai.org/index.php/AAAI/article/download/32228/34383,https://ojs.aaai.org/index.php/AAAI/issue/view/625,English,2903,255,4,7,186,context_or_problem;gap_or_contrast;method_or_resource;result_or_evidence;implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,9,11470072,457a9c601e637cfd617193844fe896a0e386149e8a38edc97e06033858ec66bb,6038,58244,58244,explicit_list,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,1,3,False,not_detected,39(2),2284-2292,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-005,AAAI,2025,AAAI Technical Track on Computer Vision II,AAAI-25-32300,10.1609/aaai.v39i3.32300,PROSAC: Provably Safe Certification for Machine Learning Models under Adversarial Attacks,Chen Feng; Ziquan Liu; Zhuo Zhi; Ilija Bogunovic; Carsten Gerner-Beuerle; Miguel Rodrigues,trustworthy_ai_privacy_fairness,https://ojs.aaai.org/index.php/AAAI/article/view/32300,https://ojs.aaai.org/index.php/AAAI/article/download/32300/34455,https://ojs.aaai.org/index.php/AAAI/issue/view/626,English,2903,327,5,11,266,context_or_problem;method_or_resource;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,270611,adb950fb6bdc61138028398bd5f36fe15d9ce09b5dcf6b70221d1daf02370ac2,6639,67070,67070,explicit_list,no_dedicated_heading_detected,theory_led_without_generic_method_heading,False,True,False,True,False,False,False,2,0,False,not_detected,39(3),2933-2941,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-006,AAAI,2025,AAAI Technical Track on Computer Vision III,AAAI-25-32373,10.1609/aaai.v39i4.32373,Motion Decoupled 3D Gaussian Splatting for Dynamic Object Representation,Xiao Hu; Libo Long; Jochen Lang,computer_vision_multimodal,https://ojs.aaai.org/index.php/AAAI/article/view/32373,https://ojs.aaai.org/index.php/AAAI/article/download/32373/34528,https://ojs.aaai.org/index.php/AAAI/issue/view/627,English,2903,400,6,8,202,context_or_problem;gap_or_contrast;method_or_resource;result_or_evidence;implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,9,4172385,f2c7926b50e122c040f0019a90dc879442fbe5c8d15493b99c841b86b09cf201,5988,54341,54341,explicit_list,no_dedicated_heading_detected,dedicated_method_or_approach,False,True,True,False,False,False,False,3,3,False,not_detected,39(4),3590-3598,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-007,AAAI,2025,AAAI Technical Track on Computer Vision III,AAAI-25-32445,10.1609/aaai.v39i4.32445,PLATYPUS: Progressive Local Surface Estimator for Arbitrary-Scale Point Cloud Upsampling,Donghyun Kim; Hyeonkyeong Kwon; Yumin Kim; Seong Jae Hwang,robotics_embodied_autonomy,https://ojs.aaai.org/index.php/AAAI/article/view/32445,https://ojs.aaai.org/index.php/AAAI/article/download/32445/34600,https://ojs.aaai.org/index.php/AAAI/issue/view/627,English,2903,472,7,10,167,context_or_problem;gap_or_contrast;result_or_evidence,downloaded_official_pdf,success,full_text_extracted,9,5608126,c36db78258a57415d11b39fd06bec14ac28b759132b654c884d24f46e514466d,5415,51389,51389,explicit_prose,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,6,2,False,not_detected,39(4),4239-4247,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-008,AAAI,2025,AAAI Technical Track on Computer Vision IV,AAAI-25-32518,10.1609/aaai.v39i5.32518,Enhancing Generalizability via Utilization of Unlabeled Data for Occupancy Perception,Ruihang Li; Tao Li; Shanding Ye; Kaikai Xiao; Zheng Huangnan; Zhe Yin; Zhijie Pan,robotics_embodied_autonomy,https://ojs.aaai.org/index.php/AAAI/article/view/32518,https://ojs.aaai.org/index.php/AAAI/article/download/32518/34673,https://ojs.aaai.org/index.php/AAAI/issue/view/628,English,2903,545,8,10,161,gap_or_contrast;method_or_resource;result_or_evidence;implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,9,12582445,c045c5d0007f1cb52fe5e9a0383906a57114cba08756a0d573d57e6e9810bd31,5346,53061,53061,not_detected,early_dedicated,no_generic_method_heading_detected,False,True,True,False,False,False,False,3,2,False,not_detected,39(5),4896-4904,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-009,AAAI,2025,AAAI Technical Track on Computer Vision IV,AAAI-25-32590,10.1609/aaai.v39i5.32590,Bridge Diffusion Model: Bridge Chinese Text-to-Image Diffusion Model with English Communities,Shanyuan Liu; Bo Cheng; Yuhang Ma; Liebucha Wu; Ao Ma; Xiaoyu Wu; Dawei Leng; Yuhui Yin,language_models_nlp,https://ojs.aaai.org/index.php/AAAI/article/view/32590,https://ojs.aaai.org/index.php/AAAI/article/download/32590/34745,https://ojs.aaai.org/index.php/AAAI/issue/view/628,English,2903,617,9,11,225,context_or_problem;gap_or_contrast;method_or_resource;implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,9,8740448,ca8c42ef0ed0ce39e699cf90ed23f7e6a7a453b9eec8519a1ba1616b532bfe34,6242,56232,56232,not_detected,no_dedicated_heading_detected,no_generic_method_heading_detected,False,True,True,False,False,False,False,3,2,False,not_detected,39(5),5541-5549,2025/04/11,official_page_retrieved,,2026-08-30,
CONF-010,AAAI,2025,AAAI Technical Track on Computer Vision V,AAAI-25-32663,10.1609/aaai.v39i6.32663,SwiftTry: Fast and Consistent Video Virtual Try-On with Diffusion Models,Hung Nguyen; Quang Qui-Vinh Nguyen; Khoi Nguyen; Rang Nguyen,computer_vision_multimodal,https://ojs.aaai.org/index.php/AAAI/article/view/32663,https://ojs.aaai.org/index.php/AAAI/article/download/32663/34818,https://ojs.aaai.org/index.php/AAAI/issue/view/629,English,2903,690,10,10,191,context_or_problem;method_or_resource;result_or_evidence;implication_or_boundary,downloaded_official_pdf,success,full_text_extracted,9,6737091,999b19dc1cbf14a321734638a62bc3c6d177dc2142e53dc2eba39f35ea7e6d36,5688,50446,50446,not_detected,early_dedicated,dedicated_method_or_approach,True,True,True,False,False,False,False,3,5,False,not_detected,39(6),6200-6208,2025/04/11,official_page_retrieved,,2026-08-30,
