formulation_id,crosslinker_pct,peptide_mg_ml,porogen_fraction,swelling_ratio,bacterial_reduction_pct,fibroblast_viability_pct,split,independent_batches,technical_wells_per_endpoint
H-01,1.64,1.00,0.24,3.86,54.2,92.1,training,1,3
H-02,1.16,0.20,0.48,4.47,26.8,96.4,training,1,3
H-03,2.00,1.20,0.16,3.44,63.1,92.2,training,1,3
H-04,1.52,0.40,0.40,4.05,31.3,96.6,holdout,1,3
H-05,1.04,1.40,0.08,4.36,69.5,90.1,training,1,3
H-06,1.88,0.60,0.32,3.63,40.1,93.8,training,1,3
H-07,1.40,1.60,0.00,3.94,78.4,90.3,holdout,1,3
H-08,0.92,0.80,0.24,4.55,46.6,94.6,training,1,3
H-09,1.76,0.00,0.48,3.83,17.2,98.3,training,1,3
H-10,1.28,1.00,0.16,4.14,55.4,91.8,holdout,1,3
H-11,0.80,0.20,0.40,4.75,28.1,96.1,training,1,3
H-12,1.64,1.20,0.08,3.72,59.9,92.0,training,1,3
H-13,1.16,0.40,0.32,4.33,32.5,96.3,holdout,1,3
H-14,2.00,1.40,0.00,3.45,68.7,92.2,training,1,3
H-15,1.52,0.60,0.24,3.91,41.4,93.5,training,1,3
H-16,1.04,1.60,0.48,4.53,78.0,88.8,holdout,1,3
H-17,1.88,0.80,0.16,3.65,45.8,93.7,training,1,3
H-18,1.40,0.00,0.40,4.11,18.4,98.0,holdout,1,3
